names,masks
"(205,6560,512,512)","(205,6560,512,512)"
"(205,6765,512,512)","(205,6765,512,512)"
"(205,6970,512,512)","(205,6970,512,512)"
"(205,7175,512,512)","(205,7175,512,512)"
"(205,7380,512,512)","(205,7380,512,512)"
"(205,7585,512,512)","(205,7585,512,512)"
"(205,7790,512,512)","(205,7790,512,512)"
"(205,7995,512,512)","(205,7995,512,512)"
"(205,8200,512,512)","(205,8200,512,512)"
"(205,8405,512,512)","(205,8405,512,512)"
"(205,8610,512,512)","(205,8610,512,512)"
"(205,8815,512,512)","(205,8815,512,512)"
"(205,9020,512,512)","(205,9020,512,512)"
"(205,9225,512,512)","(205,9225,512,512)"
"(205,9430,512,512)","(205,9430,512,512)"
"(205,9635,512,512)","(205,9635,512,512)"
"(205,9840,512,512)","(205,9840,512,512)"
"(205,10045,512,512)","(205,10045,512,512)"
"(205,10250,512,512)","(205,10250,512,512)"
"(205,10455,512,512)","(205,10455,512,512)"
"(410,2050,512,512)","(410,2050,512,512)"
"(410,2255,512,512)","(410,2255,512,512)"
"(410,2460,512,512)","(410,2460,512,512)"
"(410,2665,512,512)","(410,2665,512,512)"
"(410,2870,512,512)","(410,2870,512,512)"
"(410,3075,512,512)","(410,3075,512,512)"
"(410,3280,512,512)","(410,3280,512,512)"
"(410,3485,512,512)","(410,3485,512,512)"
"(410,3690,512,512)","(410,3690,512,512)"
"(410,3895,512,512)","(410,3895,512,512)"
"(410,4100,512,512)","(410,4100,512,512)"
"(410,4305,512,512)","(410,4305,512,512)"
"(410,4510,512,512)","(410,4510,512,512)"
"(410,4715,512,512)","(410,4715,512,512)"
"(410,4920,512,512)","(410,4920,512,512)"
"(410,5125,512,512)","(410,5125,512,512)"
"(410,5330,512,512)","(410,5330,512,512)"
"(410,5535,512,512)","(410,5535,512,512)"
"(410,5740,512,512)","(410,5740,512,512)"
"(410,5945,512,512)","(410,5945,512,512)"
"(410,6150,512,512)","(410,6150,512,512)"
"(410,6355,512,512)","(410,6355,512,512)"
"(410,6560,512,512)","(410,6560,512,512)"
"(410,6765,512,512)","(410,6765,512,512)"
"(410,6970,512,512)","(410,6970,512,512)"
"(410,7175,512,512)","(410,7175,512,512)"
"(410,7380,512,512)","(410,7380,512,512)"
